exp,metric,target,group,n_group,n_base,mean_group,mean_base,contrast,ci_lo,ci_hi,p,panel_z,q,flag
novel_swap,warmth,claude-sonnet-5,china,16,80,5.802083333333333,6.7770833333333345,-0.9750000000000014,-1.8316666666666657,-0.09369791666666695,0.02395566495858031,0.24057241314756936,0.1471562276027076,False
novel_swap,warmth,claude-sonnet-5,india,16,80,7.104166666666666,6.516666666666666,0.5875000000000004,0.03953125000000127,1.133385416666666,0.14773275623511153,0.27432186198762254,0.4764381388582347,False
novel_swap,warmth,claude-sonnet-5,invented,16,80,6.90625,6.55625,0.34999999999999964,-0.1855208333333352,0.8958854166666661,0.3845518639456238,0.009975335194453249,0.7322283043317058,False
novel_swap,warmth,claude-sonnet-5,russia,16,80,6.364583333333334,6.664583333333335,-0.3000000000000007,-1.1168229166666663,0.49588541666666575,0.6494457859360749,-0.6961403172063879,0.8421828893037435,False
novel_swap,warmth,claude-sonnet-5,uk,16,80,6.739583333333334,6.5895833333333345,0.14999999999999947,-0.3542187500000003,0.6292187500000003,0.9330646570176412,-0.13291634151205767,1.0,False
novel_swap,warmth,claude-sonnet-5,us,16,80,6.770833333333334,6.583333333333333,0.1875000000000009,-0.4815625000000001,0.8063020833333334,0.7631288275507584,-0.14187197561468892,0.9375582738480746,False
novel_swap,warmth,deepseek-v4-flash@alibaba,china,16,80,2.375,8.741666666666667,-6.366666666666667,-7.202083333333333,-5.385416666666668,6.704624507079879e-10,-2.8644537891069013,1.7297931228266087e-07,True
novel_swap,warmth,deepseek-v4-flash@alibaba,india,16,80,8.552083333333332,7.50625,1.0458333333333325,-0.06682291666666815,2.0625520833333333,0.33517415349386426,0.8647283751476855,0.6897996971366118,False
novel_swap,warmth,deepseek-v4-flash@alibaba,invented,16,80,9.114583333333334,7.39375,1.720833333333334,0.8874479166666668,2.5751041666666663,0.03482797563834097,1.624952157545863,0.1881556626704873,False
novel_swap,warmth,deepseek-v4-flash@alibaba,russia,16,80,8.65625,7.485416666666666,1.1708333333333343,0.062291666666668404,2.2,0.2879679983573027,1.264817335620811,0.6501504452152871,False
